full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-plugins-official,17338,17338,2044,26,26,6,https://github.com/anthropics/claude-plugins-official
rohitg00/awesome-claude-code-toolkit,1344,1344,406,4,4,5,https://github.com/rohitg00/awesome-claude-code-toolkit
Pimzino/claude-code-spec-workflow,3668,3668,258,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
edmund-io/edmunds-claude-code,1405,1405,282,0,0,1,https://github.com/edmund-io/edmunds-claude-code
bfly123/claude_code_bridge,2310,2310,217,2,2,0,https://github.com/bfly123/claude_code_bridge
snarktank/ralph,17388,17388,1733,34,34,1,https://github.com/snarktank/ralph
forrestchang/andrej-karpathy-skills,62133,62133,5415,1336,1336,136,https://github.com/forrestchang/andrej-karpathy-skills
AICoderTudou/claude-code-tudou,490,490,392,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
lowcortisolprogrammer/claude-code,172,172,161,0,0,2,https://github.com/lowcortisolprogrammer/claude-code
carlvellotti/claude-code-pm-course,1882,1882,293,1,1,1,https://github.com/carlvellotti/claude-code-pm-course
wshobson/agents,33910,33910,3681,21,21,1,https://github.com/wshobson/agents
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3385,3385,653,6,6,0,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
ghuntley/claude-code-source-code-deobfuscation,973,973,557,1,1,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
luongnv89/claude-howto,27683,27683,3382,44,44,12,https://github.com/luongnv89/claude-howto
alirezarezvani/claude-skills,11965,11965,1569,40,40,13,https://github.com/alirezarezvani/claude-skills
andrew-kramer-inno/claude-code-source-build,574,574,509,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
feiskyer/claude-code-settings,1450,1450,216,2,2,0,https://github.com/feiskyer/claude-code-settings
eyaltoledano/claude-task-master,26597,26597,2484,1,1,1,https://github.com/eyaltoledano/claude-task-master
sugyan/claude-code-webui,1028,1028,238,0,0,0,https://github.com/sugyan/claude-code-webui
NanmiCoder/cc-haha,7070,7070,6747,7070,7070,6747,https://github.com/NanmiCoder/cc-haha
Hyper66666/claude-code-sourcemap,208,208,455,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
Windy3f3f3f3f/claude-code-from-scratch,957,957,326,1,1,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
darcyegb/ClaudeCodeAgents,662,662,59,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
garrytan/gstack,77673,77673,11104,373,373,73,https://github.com/garrytan/gstack
centminmod/my-claude-code-setup,2217,2217,216,1,1,0,https://github.com/centminmod/my-claude-code-setup
